[19:20:27] - INFO: Updating RPC with NVIDIA GeForce RTX 2060 | RAM: 8.6G/15.9G, AMD Ryzen 5 3600 6-Core Processor              , Base
[19:20:57] - INFO: Updating RPC with Glass Animals, Heat Waves 1:56/3:59, YouTube Music
[19:20:58] - INFO: Updating RPC with Glass Animals, Heat Waves 1:57/3:59, YouTube Music
[19:20:58] - INFO: Updating RPC with Glass Animals, Heat Waves 1:57/3:59, YouTube Music
[19:20:58] - INFO: Updating RPC with Glass Animals, Heat Waves 1:57/3:59, YouTube Music
[19:20:58] - INFO: Updating RPC with Glass Animals, Heat Waves 1:57/3:59, YouTube Music
[19:20:59] - INFO: Updating RPC with Glass Animals, Heat Waves 1:58/3:59, YouTube Music
[19:20:59] - INFO: Updating RPC with Glass Animals, Heat Waves 1:58/3:59, YouTube Music
[19:20:59] - INFO: Updating RPC with Glass Animals, Heat Waves 1:58/3:59, YouTube Music
[19:20:59] - INFO: Updating RPC with Glass Animals, Heat Waves 1:58/3:59, YouTube Music
[19:21:00] - INFO: Updating RPC with Glass Animals, Heat Waves 1:59/3:59, YouTube Music
[19:21:00] - INFO: Updating RPC with Glass Animals, Heat Waves 1:59/3:59, YouTube Music
[19:21:00] - INFO: Updating RPC with Glass Animals, Heat Waves 1:59/3:59, YouTube Music
[19:21:00] - INFO: Updating RPC with Glass Animals, Heat Waves 1:59/3:59, YouTube Music
[19:21:01] - INFO: Updating RPC with Glass Animals, Heat Waves 2:00/3:59, YouTube Music
[19:21:01] - INFO: Updating RPC with Glass Animals, Heat Waves 2:00/3:59, YouTube Music
[19:21:01] - INFO: Updating RPC with Glass Animals, Heat Waves 2:00/3:59, YouTube Music
[19:21:01] - INFO: Updating RPC with Glass Animals, Heat Waves 2:00/3:59, YouTube Music
[19:21:02] - INFO: Updating RPC with Glass Animals, Heat Waves 2:01/3:59, YouTube Music
[19:21:02] - INFO: Updating RPC with Glass Animals, Heat Waves 2:01/3:59, YouTube Music
[19:21:02] - INFO: Updating RPC with Glass Animals, Heat Waves 2:01/3:59, YouTube Music
[19:21:02] - INFO: Updating RPC with Glass Animals, Heat Waves 2:01/3:59, YouTube Music
[19:21:03] - INFO: Updating RPC with Glass Animals, Heat Waves 2:02/3:59, YouTube Music
[19:21:03] - INFO: Updating RPC with Glass Animals, Heat Waves 2:02/3:59, YouTube Music
[19:21:03] - INFO: Updating RPC with Glass Animals, Heat Waves 2:02/3:59, YouTube Music
[19:21:04] - INFO: Updating RPC with Glass Animals, Heat Waves 2:02/3:59, YouTube Music
[19:21:04] - INFO: Updating RPC with Glass Animals, Heat Waves 2:03/3:59, YouTube Music
[19:21:04] - INFO: Updating RPC with Glass Animals, Heat Waves 2:03/3:59, YouTube Music
[19:21:04] - INFO: Updating RPC with Glass Animals, Heat Waves 2:03/3:59, YouTube Music
[19:21:05] - INFO: Updating RPC with Glass Animals, Heat Waves 2:03/3:59, YouTube Music
[19:21:05] - INFO: Updating RPC with Glass Animals, Heat Waves 2:04/3:59, YouTube Music
[19:21:05] - INFO: Updating RPC with Glass Animals, Heat Waves 2:04/3:59, YouTube Music
[19:21:05] - INFO: Updating RPC with Glass Animals, Heat Waves 2:04/3:59, YouTube Music
[19:21:06] - INFO: Updating RPC with Glass Animals, Heat Waves 2:04/3:59, YouTube Music
[19:21:06] - INFO: Updating RPC with Glass Animals, Heat Waves 2:05/3:59, YouTube Music
[19:21:06] - INFO: Updating RPC with Glass Animals, Heat Waves 2:05/3:59, YouTube Music
[19:21:06] - INFO: Updating RPC with Glass Animals, Heat Waves 2:05/3:59, YouTube Music
[19:21:07] - INFO: Updating RPC with Glass Animals, Heat Waves 2:06/3:59, YouTube Music
[19:21:07] - INFO: Updating RPC with Glass Animals, Heat Waves 2:06/3:59, YouTube Music
[19:21:07] - INFO: Updating RPC with Glass Animals, Heat Waves 2:06/3:59, YouTube Music
[19:21:07] - INFO: Updating RPC with Glass Animals, Heat Waves 2:06/3:59, YouTube Music
[19:21:08] - INFO: Updating RPC with Glass Animals, Heat Waves 2:07/3:59, YouTube Music
[19:21:08] - INFO: Updating RPC with Glass Animals, Heat Waves 2:07/3:59, YouTube Music
[19:21:08] - INFO: Updating RPC with Glass Animals, Heat Waves 2:07/3:59, YouTube Music
[19:21:08] - INFO: Updating RPC with Glass Animals, Heat Waves 2:07/3:59, YouTube Music
[19:21:09] - INFO: Updating RPC with Glass Animals, Heat Waves 2:08/3:59, YouTube Music
[19:21:09] - INFO: Updating RPC with Glass Animals, Heat Waves 2:08/3:59, YouTube Music
[19:21:09] - INFO: Updating RPC with Glass Animals, Heat Waves 2:08/3:59, YouTube Music
[19:21:09] - INFO: Updating RPC with Glass Animals, Heat Waves 2:08/3:59, YouTube Music
[19:21:10] - INFO: Updating RPC with Glass Animals, Heat Waves 2:09/3:59, YouTube Music
[19:21:10] - INFO: Updating RPC with Glass Animals, Heat Waves 2:09/3:59, YouTube Music
[19:21:10] - INFO: Updating RPC with Glass Animals, Heat Waves 2:09/3:59, YouTube Music
[19:21:10] - INFO: Updating RPC with Glass Animals, Heat Waves 2:09/3:59, YouTube Music
[19:21:11] - INFO: Updating RPC with Glass Animals, Heat Waves 2:10/3:59, YouTube Music
[19:21:11] - INFO: Updating RPC with Glass Animals, Heat Waves 2:10/3:59, YouTube Music
[19:21:11] - INFO: Updating RPC with Glass Animals, Heat Waves 2:10/3:59, YouTube Music
[19:21:12] - INFO: Updating RPC with Glass Animals, Heat Waves 2:10/3:59, YouTube Music
[19:21:12] - INFO: Updating RPC with Glass Animals, Heat Waves 2:11/3:59, YouTube Music
[19:21:12] - INFO: Updating RPC with Glass Animals, Heat Waves 2:11/3:59, YouTube Music
[19:21:12] - INFO: Updating RPC with Glass Animals, Heat Waves 2:11/3:59, YouTube Music
[19:21:13] - INFO: Updating RPC with Glass Animals, Heat Waves 2:11/3:59, YouTube Music
[19:21:13] - INFO: Updating RPC with Glass Animals, Heat Waves 2:12/3:59, YouTube Music
[19:21:13] - INFO: Updating RPC with Glass Animals, Heat Waves 2:12/3:59, YouTube Music
[19:21:13] - INFO: Updating RPC with Glass Animals, Heat Waves 2:12/3:59, YouTube Music
[19:21:14] - INFO: Updating RPC with Glass Animals, Heat Waves 2:13/3:59, YouTube Music
[19:21:14] - INFO: Updating RPC with Glass Animals, Heat Waves 2:13/3:59, YouTube Music
[19:21:14] - INFO: Updating RPC with Glass Animals, Heat Waves 2:13/3:59, YouTube Music
[19:21:14] - INFO: Updating RPC with Glass Animals, Heat Waves 2:13/3:59, YouTube Music
[19:21:15] - INFO: Updating RPC with Glass Animals, Heat Waves 2:14/3:59, YouTube Music
[19:21:15] - INFO: Updating RPC with Glass Animals, Heat Waves 2:14/3:59, YouTube Music
[19:21:15] - INFO: Updating RPC with Glass Animals, Heat Waves 2:14/3:59, YouTube Music
[19:21:15] - INFO: Updating RPC with Glass Animals, Heat Waves 2:14/3:59, YouTube Music
[19:21:16] - INFO: Updating RPC with Glass Animals, Heat Waves 2:15/3:59, YouTube Music
[19:21:16] - INFO: Updating RPC with Glass Animals, Heat Waves 2:15/3:59, YouTube Music
[19:21:16] - INFO: Updating RPC with Glass Animals, Heat Waves 2:15/3:59, YouTube Music
[19:21:16] - INFO: Updating RPC with Glass Animals, Heat Waves 2:15/3:59, YouTube Music
[19:21:17] - INFO: Updating RPC with Glass Animals, Heat Waves 2:16/3:59, YouTube Music
[19:21:17] - INFO: Updating RPC with Glass Animals, Heat Waves 2:16/3:59, YouTube Music
[19:21:17] - INFO: Updating RPC with Glass Animals, Heat Waves 2:16/3:59, YouTube Music
[19:21:17] - INFO: Updating RPC with Glass Animals, Heat Waves 2:16/3:59, YouTube Music
[19:21:18] - INFO: Updating RPC with Glass Animals, Heat Waves 2:17/3:59, YouTube Music
[19:21:18] - INFO: Updating RPC with Glass Animals, Heat Waves 2:17/3:59, YouTube Music
[19:21:18] - INFO: Updating RPC with Glass Animals, Heat Waves 2:17/3:59, YouTube Music
[19:21:18] - INFO: Updating RPC with Glass Animals, Heat Waves 2:17/3:59, YouTube Music
[19:21:19] - INFO: Updating RPC with Glass Animals, Heat Waves 2:18/3:59, YouTube Music
[19:21:19] - INFO: Updating RPC with Glass Animals, Heat Waves 2:18/3:59, YouTube Music
